,,
1007,2.41,4.20
1024,2.35,1.53
1041,2.40,4.19
1057,2.38,1.54
1074,2.34,4.18
1090,2.42,4.21
1107,2.35,1.53
1124,2.40,4.19
1140,2.38,1.54
1157,2.34,4.18
1174,2.41,4.21
1190,2.35,1.54
1207,2.40,4.19
1223,2.38,1.54
1241,2.34,4.18
1257,2.41,4.21
1273,2.35,1.54
1290,2.40,4.19
1307,2.38,1.54
1324,2.34,4.18
1340,2.41,4.20
1356,2.35,1.54
1374,2.40,4.19
1390,2.38,1.54
1406,2.34,4.18
1423,2.41,4.21
1440,2.35,1.53
1457,2.40,4.19
1473,2.38,1.54
1489,2.34,4.18
1507,2.41,4.21
1523,2.35,1.54
1540,2.40,4.19
1556,2.38,1.54
1573,2.34,4.18
1590,2.41,4.21
1606,2.35,1.54
1623,2.40,4.19
1640,2.38,1.54
1656,2.34,4.18
1673,2.41,4.20
1689,2.35,1.54
1707,2.40,4.19
1723,2.38,1.54
1739,2.34,4.18
1756,2.41,4.20
1773,2.35,1.53
1789,2.40,4.19
1806,2.38,1.54
1822,2.34,4.18
1840,2.42,4.21
1856,2.35,1.54
1872,2.40,4.19
1889,2.38,1.54
1906,2.34,4.18
1923,2.42,4.21
1939,2.35,1.54
1955,2.40,4.19
1973,2.38,1.54
1989,2.34,4.18
2006,2.41,4.21
2022,2.35,1.54
2039,2.41,4.19
2056,2.38,1.54
2072,2.34,4.18
2088,2.41,4.20
2106,2.35,1.53
2122,2.40,4.19
2139,2.38,1.54
2155,2.34,4.17
2172,2.42,4.20
2189,2.35,1.54
2205,2.41,4.19
2222,2.38,1.54
2239,2.34,4.18
2255,2.41,4.20
2272,2.35,1.54
2288,2.40,4.19
2306,2.38,1.54
2322,2.34,4.18
2338,2.41,4.20
2355,2.35,1.54
2372,2.40,4.19
2388,2.38,1.54
2405,2.34,4.18
2421,2.41,4.20
2439,2.35,1.53
2455,2.40,4.19
2471,2.38,1.54
2488,2.34,4.18
2505,2.42,4.20
2522,2.35,1.53
2538,2.40,4.19
2554,2.38,1.54
2572,2.34,4.18
2588,2.41,4.20
2605,2.35,1.54
2621,2.40,4.19
2638,2.38,1.54
2655,2.34,4.18
2671,2.41,4.20
2688,2.35,1.54
2705,2.40,4.19
2721,2.38,1.54
2738,2.34,4.18
2754,2.42,4.20
2771,2.35,1.53
2788,2.40,4.19
2804,2.38,1.54
2821,2.34,4.17
2838,2.41,4.20
2854,2.35,1.54
2871,2.40,4.19
2887,2.38,1.54
2905,2.34,4.17
2921,2.41,4.20
2937,2.35,1.54
2954,2.40,4.19
2971,2.38,1.54
2988,2.34,4.18
3004,2.41,4.20
3020,2.35,1.54
3038,2.41,4.19
3054,2.38,1.54
3070,2.34,4.18
3087,2.41,4.21
3104,2.35,1.53
3121,2.41,4.19
3137,2.38,1.54
3153,2.34,4.18
3171,2.41,4.21
3187,2.35,1.54
3204,2.41,4.19
3220,2.38,1.54
3237,2.34,4.18
3254,2.41,4.21
3270,2.35,1.54
3287,2.40,4.19
3304,2.38,1.54
3320,2.34,4.18
3337,2.41,4.20
3353,2.35,1.54
3371,2.40,4.19
3387,2.38,1.54
3403,2.34,4.18
3420,2.41,4.21
3437,2.35,1.53
3453,2.40,4.19
3470,2.38,1.54
3486,2.34,4.18
3504,2.42,4.21
3520,2.35,1.54
3536,2.40,4.19
3553,2.38,1.54
3570,2.34,4.18
3587,2.41,4.20
3603,2.35,1.54
3619,2.40,4.19
3637,2.38,1.54
3653,2.34,4.18
3670,2.41,4.20
3686,2.35,1.54
3703,2.40,4.19
3720,2.38,1.54
3736,2.34,4.18
3752,2.42,4.20
3770,2.35,1.53
3786,2.40,4.19
3803,2.38,1.54
3819,2.34,4.18
3836,2.42,4.21
3853,2.35,1.54
3869,2.40,4.19
3886,2.38,1.54
3903,2.34,4.18
3919,2.41,4.21
3936,2.35,1.54
3952,2.40,4.19
3970,2.38,1.54
3986,2.34,4.18
4002,2.41,4.20
4019,2.35,1.54
4036,2.41,4.19
4052,2.38,1.54
4069,2.34,4.18
4085,2.41,4.20
4103,2.35,1.53
4119,2.40,4.19
4135,2.38,1.54
4152,2.34,4.17
4169,2.42,4.20
4186,2.35,1.54
4202,2.40,4.19
4218,2.38,1.54
4236,2.34,4.18
4252,2.41,4.20
4269,2.35,1.53
4285,2.40,4.19
4302,2.38,1.54
4319,2.34,4.18
4335,2.41,4.20
4352,2.35,1.54
4369,2.41,4.19
4385,2.38,1.54
4402,2.34,4.18
4418,2.41,4.20
4435,2.35,1.53
4452,2.40,4.19
4468,2.38,1.54
4485,2.34,4.17
4502,2.42,4.20
4518,2.35,1.53
4535,2.40,4.19
4551,2.38,1.54
4569,2.34,4.18
4585,2.42,4.20
4601,2.35,1.53
4618,2.40,4.19
4635,2.38,1.54
4652,2.34,4.18
4668,2.41,4.19
4684,2.35,1.54
4702,2.40,4.19
4718,2.38,1.54
4734,2.34,4.18
4751,2.41,4.20
4768,2.35,1.53
4785,2.40,4.19
4801,2.38,1.54
4817,2.34,4.17
4835,2.41,4.20
4851,2.35,1.54
4868,2.40,4.19
4884,2.38,1.54
4901,2.34,4.18
4918,2.42,4.20
